Protein IDs	Only identified by site
P52912	
P53026	
P53395	
P53569	
P53690	+
P53810	
P53811	
P53986	
P53994	
P53995	
P53996	
P54071	
P54103	
P54227;P55821	
P54276	
P54310	
P54726	
P54728	
P54729	
P54731	
P54775	
P54822	
P54823	
P54923	
P55096	
P55194	
P55200	
P55258;P35276;P63011;P62823;Q8K386;Q8BHC1;Q8BHD0;P35283	
P55264	
P55302	
P55772	
P55937	
P56135	
P56183	
P56212;P60840	
P56213	
P56376	
P56379	
P56380	
P56382	
P56391	
P56394	
P56395	
P56399	
P56480	
P56528	
P56671	
P56812	
P56959	
P56960	
P57016	
P57080	
P57716	
P57722	+
P57759	
P57776	
P57780	
P57784	
P57791	
P58021	
P58044	
P58064	
P58137	
P58252	
P58281	
P58389	
P58404	
P58462	
P58466;P58465	
P58468	
P58501	
P58742	
P58771	
P58774;CON__Q3SX28	
P58802	
P58854	
P58871	
P58929	
P59016	
P59017	
P59110	
P59114	
P59235	
P59279	+
P59325	
P59326	
P59470	
P59708	
P59729	
P59997	
P59999	
P60003	
P60060	
P60122	
P60229	
P60335;P57724	
P60487	
P60605	
P60670	
P60710	
P60762	
P60766;Q8R527;Q9ER71	
P60824	
P60843	
P60867	
P60898	
P60904	
P61021	
P61022	
P61027	
P61028	
P61079;Q6ZWY6	
P61082	
P61087	
P61089;Q9CQ37	
P61161	
P61164	
P61202	
P61211	
P61222	
P61226;Q80ZJ1	
P61255	
P61290	
P61294	
P61327;Q9CQL1	
P61358	
P61406	
P61514	
P61620;Q9JLR1	
P61750	
P61759	
P61804	
P61924	
P61957	
P61961	
P61963	
P61965	
P61967	
P61971	
P61979	
P61982	
P62046	
P62071	
P62073	
P62075	
P62082	
P62137	
P62141	
P62192	
P62196	
P62204;P20801	
P62242	
P62245	
P62254	
P62257	
P62259	
P62264	
P62267	
P62270	
P62274	
P62281	
P62301	
P62305	
P62307	
P62309	
P62311	
P62313	
P62315	
P62317	
P62320	
P62322	
P62331;Q8BGX0	
P62334	
P62340	
P62342	
P62482;P63143	
P62488	
P62627	
P62700	
P62702	
P62715	
P62717	
P62748	
P62751	
P62754	
P62774	
P62806	
P62814	
P62821	
P62827;Q61820	
P62830	
P62835	
P62838	
P62843	
P62849	
P62852	
P62855	
P62858	
P62862	
P62869	
P62874	
P62878	
P62880	
P62889	
P62892	
P62897;P00015	
P62900	
P62908	
P62911;P17932	
P62915	
P62918	
P62960;Q9JKB3;Q9Z2C8	
P62962	
P62983;P62984;P0CG49;P0CG50	
P62996	
P63001;P60764	
P63002	
P63005	
P63017	
P63024	
P63028	
P63037	
P63038	
P63044	
P63073	
P63082	
P63085;Q61532	
P63087	
P63094;Q6R0H7;Q8CGK7	
P63101	
P63139	
P63154	
P63158	
P63166	
P63168	
P63242;Q8BGY2	
P63254	
P63260	
Q9Z199;P63271	
P63276	
P63280	
P63321;Q9JIW9	
P63323	
P63325	
P63328	
P63330	
P67778	
P67871	
P67984	
P68033;P63268;P62737;P68134	
P68037	
P68040	
P68181	
P68254	
P68368	
P68369;P05214	
P68372;Q9D6F9	
P68373;Q9JJZ2;Q3UX10	
P68404	
P68433	
P68510	
P70122	
P70158	
P70168	
P70191	
P70195	
P70202	
P70218	
P70224	
P70227	
P70236	
P70245	
P70248	
P70268	
P70271	
P70279;REV__Q80TS8	
P70280	
P70288	
P70290	
P70295	
P70296;Q8VIN1	
P70302	
P70303	
P70315	
P70318	
P70333	
P70335	
P70336	
P70347	
P70349	
P70353	
P70362	
P70372;Q60899;Q61701	
P70388	
P70398;Q8VEE0	
P70399	
P70404	
P70429	
P70441	
P70444	
P70452	
P70460	
P70662	
P70665	
Q60817;P70670	
P70671	
P70677	
P70697	
P70698	
P70700	
P80313	
P80314;REV__Q8VHR0	
P80315	
P80316	
P80317;Q61390	
P80318	
P81069	
P81117	
P81183	
P81269	
P82198	
P83093	
P83510	
P83741;Q80XP9;Q3UH66;Q80UE6	
P83870	
P83877	
P83882	
P83887;Q8VCK3	
P83917	
P83940	
P84078;P61205	
P84084	
P84089	
P84091	
P84096	
P84099	
P84104	
P84228	
P85094	
P86449	+
P97287	
P97298	+
P97300	
P97303	
P97304	
P97305	
P97310	
P97311	
P97313	
P97315	
P97324	+
P97333	
P97351	
P97352	
P97355	
P97363	
P97364	
P97370	
P97371	
P97372	
P97376	
P97377;Q80YP0	
P97379	
P97384;O35639	
P97386	
P97390	
P97427	
P97429	
P97447	
P97450	
P97452	
P97461	
P97470	
P97471	
P97480	
P97492	
P97494	
P97496	
P97742	
P97760	
P97762	
P97765	
P97770	
P97789	
P97801	
P97807	
P97808	
P97814	
P97820	
P97821	
P97822	
P97823	
P97825	
P97855	
P97868	
P97872	
P97930	
P98083	
P99024	
P99026	
P99027	
P99028	
P99029	
Q00417	
Q00420	
Q00422	
Q00547	+
Q00612;REV__P46662	
Q00724	
Q00899;Q3TTC2	
Q00PI9	
Q01147	
Q01149	
Q01320	
Q01405	
Q01730	
Q01768	
Q01853;Q9D3R6	
Q01965	
Q02053;P31254	
Q02111	
Q02257;Q02248	
Q02395	
Q02614	
Q02819	
Q03147;Q8BWQ5	
Q03249	
Q03265	
Q03267	
Q03347	
